giardiasis,"Giardiasis is an intestinal infection caused by the parasite Giardia lamblia, leading to diarrhea, cramps, and bloating."
amoebiasis,"Amoebiasis is an intestinal infection caused by Entamoeba histolytica, leading to diarrhea, abdominal pain, and sometimes liver abscesses."
toxoplasmosis,"Toxoplasmosis is an infection caused by the Toxoplasma gondii parasite, often contracted from undercooked meat or cat feces."
trichomoniasis,"Trichomoniasis is a sexually transmitted infection caused by the Trichomonas vaginalis parasite, leading to vaginal or urinary discomfort."
syphilis,"Syphilis is a sexually transmitted infection caused by Treponema pallidum bacteria, progressing through distinct stages with skin sores, rash, and systemic symptoms."
gonorrhea,"Gonorrhea is a common sexually transmitted infection caused by Neisseria gonorrhoeae, leading to pain during urination and genital discharge."
chlamydia,"Chlamydia is a common sexually transmitted infection caused by Chlamydia trachomatis, often without symptoms but capable of causing reproductive complications."
genital herpes,"Genital herpes is a sexually transmitted infection caused by the herpes simplex virus, leading to painful blisters and sores in the genital area."
human papillomavirus infection,"HPV infection is caused by the human papillomavirus and can lead to genital warts and certain cancers, including cervical cancer."
shingles,"Shingles, or herpes zoster, is a viral infection causing a painful rash, typically on one side of the body, resulting from reactivation of the chickenpox virus."
monkeypox,"Monkeypox is a viral disease similar to smallpox, causing fever, rash, and swollen lymph nodes, transmitted through contact with infected animals or people."
ebola,"Ebola is a severe and often fatal viral hemorrhagic fever caused by infection with the Ebola virus, leading to internal bleeding and organ failure."
zika virus infection,"Zika virus infection is a mosquito-borne illness that can cause mild fever, rash, and joint pain, but is linked to birth defects during pregnancy."
COVID-19,"COVID-19 is an infectious disease caused by the SARS-CoV-2 virus, leading to respiratory symptoms ranging from mild cold-like illness to severe pneumonia."
SARS,"Severe acute respiratory syndrome (SARS) is a viral respiratory illness caused by a coronavirus, leading to fever, cough, and difficulty breathing."
MERS,"Middle East respiratory syndrome (MERS) is a viral respiratory illness caused by a coronavirus, leading to fever, cough, and shortness of breath."
avian influenza,"Avian influenza, or bird flu, is an infectious disease caused by influenza viruses that primarily affect birds but can infect humans."
seasonal influenza,"Seasonal influenza, or flu, is a viral infection that attacks the respiratory system, causing fever, chills, and body aches."
whooping cough,"Whooping cough, or pertussis, is a highly contagious bacterial infection that causes uncontrollable coughing and a characteristic ‘whoop’ sound when breathing."
diphtheria,"Diphtheria is a serious bacterial infection affecting the mucous membranes of the throat and nose, causing difficulty breathing and heart problems."
scarlet fever,"Scarlet fever is an illness caused by Streptococcus bacteria, characterized by a red rash, sore throat, and high fever."
rheumatic fever,"Rheumatic fever is an inflammatory disease that can develop after a Streptococcus infection, affecting the heart, joints, skin, and brain."
gas gangrene,"Gas gangrene is a life-threatening bacterial infection that produces gas in tissues, leading to rapid tissue death and sepsis."
botulism,"Botulism is a rare but serious illness caused by a toxin produced by Clostridium botulinum bacteria, leading to muscle paralysis."
tuberculosis meningitis,"Tuberculosis meningitis is a form of TB infection that affects the membranes surrounding the brain and spinal cord, leading to neurological complications."
hydrocephalus,"Hydrocephalus is a buildup of fluid in the brain’s ventricles, causing increased pressure that can damage brain tissue."
cerebral palsy,"Cerebral palsy is a group of disorders that affect movement, muscle tone, or posture due to abnormal brain development or injury during early life."
dementia,"Dementia is a general term for a decline in cognitive function severe enough to interfere with daily life, including memory loss and impaired reasoning."
Guillain-Barre syndrome,"Guillain-Barre syndrome is a rare neurological disorder where the body’s immune system attacks the peripheral nerves, causing weakness and paralysis."
Bell’s palsy,"Bell’s palsy is sudden weakness or paralysis on one side of the face due to inflammation or compression of the facial nerve."
trigeminal neuralgia,"Trigeminal neuralgia is a chronic pain condition affecting the trigeminal nerve, causing intense facial pain triggered by everyday activities."
sciatica,"Sciatica is pain that radiates along the path of the sciatic nerve, usually caused by compression from a herniated disc or bone spur."
carpal tunnel syndrome,"Carpal tunnel syndrome occurs when the median nerve is compressed at the wrist, causing numbness, tingling, and weakness in the hand."
tendonitis,"Tendonitis is inflammation of a tendon, often due to overuse, leading to pain and tenderness near joints."
bursitis,"Bursitis is inflammation of the fluid-filled sacs (bursae) that cushion joints, causing pain and stiffness."
plantar fasciitis,"Plantar fasciitis is inflammation of the thick band of tissue that runs across the bottom of the foot, causing heel pain."
frozen shoulder,"Frozen shoulder, or adhesive capsulitis, is stiffness and pain in the shoulder joint that limits movement."
scoliosis,"Scoliosis is a sideways curvature of the spine that can occur during growth spurts before puberty."
spinal stenosis,"Spinal stenosis is a narrowing of spaces in the spine, which can put pressure on nerves and cause pain or numbness."
hernia,"A hernia occurs when an organ or tissue pushes through a weak spot in the surrounding muscle or connective tissue, often in the abdomen."
appendicular abscess,"An appendicular abscess is a localized collection of pus resulting from a ruptured appendix, causing severe abdominal pain and fever."
diverticulitis,"Diverticulitis occurs when small pouches (diverticula) in the digestive tract become inflamed or infected, causing pain and fever."
irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a functional digestive disorder causing abdominal pain, bloating, and changes in bowel habits."
hemorrhagic fever,"Hemorrhagic fevers are illnesses caused by viruses that damage blood vessels, leading to bleeding, organ failure, and sometimes death."
malignant melanoma,"Malignant melanoma is the most dangerous type of skin cancer, originating in the pigment-producing cells (melanocytes)."
seborrheic dermatitis,"Seborrheic dermatitis is a chronic skin condition causing scaly patches, red skin, and stubborn dandruff."
alopecia areata,"Alopecia areata is an autoimmune condition that causes sudden hair loss in patches on the scalp or body."
vitiligo,"Vitiligo is a skin disorder that causes loss of pigment, resulting in white patches on different parts of the body."
melasma,"Melasma is a common skin condition that causes brown or gray-brown patches, usually on the face, due to sun exposure or hormonal changes."
rosacea,"Rosacea is a chronic skin condition that causes redness, visible blood vessels, and pimples on the face."
warts,"Warts are small, grainy skin growths caused by infection with the human papillomavirus (HPV)."
dermatomyositis,"Dermatomyositis is an inflammatory disease marked by muscle weakness and a distinctive skin rash."
myasthenia gravis,"Myasthenia gravis is an autoimmune disease that causes weakness in the skeletal muscles due to disrupted communication between nerves and muscles."
seizure disorder,"Seizure disorder refers to recurrent seizures due to abnormal electrical activity in the brain, not necessarily caused by epilepsy."
hypocalcemia,"Hypocalcemia is a condition in which blood calcium levels are too low, causing muscle spasms, tingling, and cardiac issues."
hyperkalemia,"Hyperkalemia is a condition characterized by elevated potassium levels in the blood, which can affect heart rhythm."
hypokalemia,"Hypokalemia is a condition where blood potassium levels are too low, causing muscle weakness and irregular heartbeat."
acidosis,"Acidosis is a condition in which there is too much acid in the body fluids, which can be metabolic or respiratory in origin."
alkalosis,"Alkalosis is a condition in which body fluids have excess base (alkali), often due to hyperventilation or loss of stomach acid."
septic shock,"Septic shock is a severe and potentially fatal condition that occurs when sepsis leads to dangerously low blood pressure and organ failure."
toxic shock syndrome,"Toxic shock syndrome is a rare but serious condition caused by bacterial toxins, leading to fever, rash, and organ failure."
poisoning,"Poisoning occurs when a person ingests, inhales, or comes into contact with harmful substances, leading to toxic effects on the body."
snake bite,"Snake bite envenomation occurs when venom from a snake enters the body, causing tissue damage, bleeding, or paralysis depending on the species."
dog bite infection,"Dog bites can introduce bacteria into the skin and underlying tissues, leading to infection, swelling, and fever."
bee sting allergy,"A bee sting allergy can cause mild reactions like redness and swelling or severe anaphylaxis in sensitive individuals."
motion sickness,"Motion sickness occurs when the brain receives conflicting signals from the inner ear and eyes, causing nausea and dizziness."
jet lag,"Jet lag is a temporary sleep disorder that occurs when your body’s internal clock is out of sync with a new time zone after travel."
altitude sickness,"Altitude sickness occurs when you can’t get enough oxygen from the air at high altitudes, causing headache, nausea, and fatigue."
radiation sickness,"Radiation sickness is illness caused by exposure to a high dose of ionizing radiation, leading to nausea, weakness, and organ damage."
lead poisoning,"Lead poisoning occurs when lead builds up in the body, often over months or years, causing serious health problems, especially in children."
mercury poisoning,"Mercury poisoning occurs when mercury accumulates in the body, damaging the brain, kidneys, and other organs."
carbon monoxide poisoning,"Carbon monoxide poisoning happens when carbon monoxide gas builds up in the bloodstream, preventing oxygen from reaching tissues and organs."
drug overdose,"Drug overdose occurs when a person consumes a toxic amount of a substance, leading to life-threatening symptoms or death."
withdrawal syndrome,"Withdrawal syndrome occurs when stopping or reducing the intake of addictive substances, leading to physical and psychological symptoms."
burn injury,"Burn injuries occur when heat, chemicals, electricity, or radiation damage the skin and underlying tissues."
electrical injury,"Electrical injury results from contact with electrical current, causing burns, muscle damage, or cardiac arrest."
fracture,"A fracture is a break in a bone caused by trauma, stress, or disease, often requiring immobilization or surgery for healing."
sprain,"A sprain is a stretching or tearing of ligaments that connect bones, usually occurring in the ankle or wrist."
dislocation,"Dislocation occurs when bones in a joint are forced out of position, often requiring immediate medical attention to reset the joint."
tendon rupture,"Tendon rupture is a complete tear of a tendon that connects muscle to bone, causing loss of movement and severe pain."
muscle strain,"Muscle strain is an injury where muscle fibers are overstretched or torn due to excessive force or overuse."
heat exhaustion,"Heat exhaustion occurs when the body overheats, leading to heavy sweating, weakness, and fainting."
fainting,"Fainting, or syncope, is a temporary loss of consciousness caused by a drop in blood flow to the brain."
shock,"Shock is a critical condition resulting from inadequate blood flow to organs, leading to organ failure and potentially death."
depression with anxiety,"Depression with anxiety is a common mental health condition where symptoms of depression and anxiety occur simultaneously."
panic disorder,"Panic disorder is characterized by sudden, repeated panic attacks involving intense fear and physical symptoms like heart palpitations."
phobia,"A phobia is an intense, irrational fear of specific objects or situations that interferes with normal functioning."
obsessive compulsive disorder,"OCD is a mental disorder characterized by uncontrollable, recurring thoughts (obsessions) and repetitive behaviors (compulsions)."
post-traumatic stress disorder,"PTSD is a mental health condition triggered by experiencing or witnessing a traumatic event, leading to flashbacks and anxiety."
borderline personality disorder,"Borderline personality disorder is a mental illness characterized by unstable moods, behavior, and relationships."
schizoaffective disorder,"Schizoaffective disorder combines symptoms of schizophrenia with mood disorder features, such as depression or mania."
insomnia disorder,"Insomnia disorder is chronic difficulty falling or staying asleep, leading to daytime fatigue and cognitive impairment."
narcolepsy,"Narcolepsy is a sleep disorder that causes excessive daytime sleepiness and sudden attacks of sleep."
restless legs syndrome,"Restless legs syndrome causes an uncontrollable urge to move the legs, usually due to uncomfortable sensations, often worse at night."

